test_title,client_name,run_duration_ms,ingestion_timestamp,test_file,test_name,test_opcode,test_params,block_limit_million,opcount
test_arithmetic.py::test_arithmetic[fork_Osaka-blockchain_test-opcode_ADDMOD--benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,18341,2026-03-18 23:24:41.950135130+00:00,test_arithmetic,test_arithmetic,ADDMOD,,15,1069595.0
test_arithmetic.py::test_arithmetic[fork_Osaka-blockchain_test-opcode_DIV-0-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,33452,2026-03-19 22:24:26.493605808+00:00,test_arithmetic,test_arithmetic,DIV,0,15,1871872.0
test_arithmetic.py::test_arithmetic[fork_Osaka-blockchain_test-opcode_DIV-1-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,32257,2026-03-19 02:17:57.222127011+00:00,test_arithmetic,test_arithmetic,DIV,1,15,1871872.0
test_arithmetic.py::test_arithmetic[fork_Osaka-blockchain_test-opcode_MOD--benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,24845,2026-03-20 03:08:02.350691464+00:00,test_arithmetic,test_arithmetic,MOD,,15,1871833.0
test_arithmetic.py::test_arithmetic[fork_Osaka-blockchain_test-opcode_MULMOD--benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,22344,2026-03-20 03:47:30.736587597+00:00,test_arithmetic,test_arithmetic,MULMOD,,15,1069595.0
test_arithmetic.py::test_arithmetic[fork_Osaka-blockchain_test-opcode_SDIV-0-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,38965,2026-03-19 14:57:13.066961896+00:00,test_arithmetic,test_arithmetic,SDIV,0,15,1871827.0
test_arithmetic.py::test_arithmetic[fork_Osaka-blockchain_test-opcode_SDIV-1-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,38364,2026-03-19 07:48:28.578997948+00:00,test_arithmetic,test_arithmetic,SDIV,1,15,1871827.0
test_arithmetic.py::test_arithmetic[fork_Osaka-blockchain_test-opcode_SMOD--benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,32151,2026-03-18 21:51:15.193227762+00:00,test_arithmetic,test_arithmetic,SMOD,,15,1871831.0
test_arithmetic.py::test_mod[fork_Osaka-blockchain_test-opcode_MOD-mod_bits_127-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,28053,2026-03-19 13:45:42.825700681+00:00,test_arithmetic,test_mod,MOD,mod_bits_127,15,1869604.0
test_arithmetic.py::test_mod[fork_Osaka-blockchain_test-opcode_MOD-mod_bits_191-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,41669,2026-03-20 07:40:54.593111040+00:00,test_arithmetic,test_mod,MOD,mod_bits_191,15,1869656.0
test_arithmetic.py::test_mod[fork_Osaka-blockchain_test-opcode_MOD-mod_bits_255-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,31650,2026-03-18 18:33:12.662050114+00:00,test_arithmetic,test_mod,MOD,mod_bits_255,15,1869570.0
test_arithmetic.py::test_mod[fork_Osaka-blockchain_test-opcode_MOD-mod_bits_63-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,23545,2026-03-19 21:27:55.600020911+00:00,test_arithmetic,test_mod,MOD,mod_bits_63,15,1869554.0
test_arithmetic.py::test_mod[fork_Osaka-blockchain_test-opcode_SMOD-mod_bits_127-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,30658,2026-03-21 03:51:23.595955516+00:00,test_arithmetic,test_mod,SMOD,mod_bits_127,15,1869619.0
test_arithmetic.py::test_mod[fork_Osaka-blockchain_test-opcode_SMOD-mod_bits_191-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,42963,2026-03-18 20:16:31.163043373+00:00,test_arithmetic,test_mod,SMOD,mod_bits_191,15,1869581.0
test_arithmetic.py::test_mod[fork_Osaka-blockchain_test-opcode_SMOD-mod_bits_255-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,34361,2026-03-18 16:37:53.835826406+00:00,test_arithmetic,test_mod,SMOD,mod_bits_255,15,1869575.0
test_arithmetic.py::test_mod[fork_Osaka-blockchain_test-opcode_SMOD-mod_bits_63-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,24952,2026-03-20 01:28:25.906104060+00:00,test_arithmetic,test_mod,SMOD,mod_bits_63,15,1869491.0
test_arithmetic.py::test_mod_arithmetic[fork_Osaka-blockchain_test-opcode_ADDMOD-mod_bits_127-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,30057,2026-03-21 01:41:38.815611498+00:00,test_arithmetic,test_mod_arithmetic,ADDMOD,mod_bits_127,15,1067612.0
test_arithmetic.py::test_mod_arithmetic[fork_Osaka-blockchain_test-opcode_ADDMOD-mod_bits_191-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,38665,2026-03-20 06:39:54.956092899+00:00,test_arithmetic,test_mod_arithmetic,ADDMOD,mod_bits_191,15,1067605.0
test_arithmetic.py::test_mod_arithmetic[fork_Osaka-blockchain_test-opcode_ADDMOD-mod_bits_255-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,36051,2026-03-19 12:05:03.930194011+00:00,test_arithmetic,test_mod_arithmetic,ADDMOD,mod_bits_255,15,1067598.0
test_arithmetic.py::test_mod_arithmetic[fork_Osaka-blockchain_test-opcode_ADDMOD-mod_bits_63-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,29355,2026-03-18 22:56:06.064661080+00:00,test_arithmetic,test_mod_arithmetic,ADDMOD,mod_bits_63,15,1067619.0
test_arithmetic.py::test_mod_arithmetic[fork_Osaka-blockchain_test-opcode_MULMOD-mod_bits_127-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,48071,2026-03-18 21:57:34.027205416+00:00,test_arithmetic,test_mod_arithmetic,MULMOD,mod_bits_127,15,1067612.0
test_arithmetic.py::test_mod_arithmetic[fork_Osaka-blockchain_test-opcode_MULMOD-mod_bits_191-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,58081,2026-03-18 22:45:55.269881289+00:00,test_arithmetic,test_mod_arithmetic,MULMOD,mod_bits_191,15,1067605.0
test_arithmetic.py::test_mod_arithmetic[fork_Osaka-blockchain_test-opcode_MULMOD-mod_bits_255-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,61989,2026-03-18 23:16:30.888923476+00:00,test_arithmetic,test_mod_arithmetic,MULMOD,mod_bits_255,15,1067598.0
test_arithmetic.py::test_mod_arithmetic[fork_Osaka-blockchain_test-opcode_MULMOD-mod_bits_63-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,40659,2026-03-19 03:15:28.881035392+00:00,test_arithmetic,test_mod_arithmetic,MULMOD,mod_bits_63,15,1067369.0
test_blake2f.py::test_blake2f_benchmark[fork_Osaka-blockchain_test-num_rounds_1-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,33556,2026-03-20 07:21:39.234607809+00:00,test_blake2f,test_blake2f_benchmark,BLAKE2F,num_rounds_1,15,125853.0
test_blake2f.py::test_blake2f_benchmark[fork_Osaka-blockchain_test-num_rounds_12-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,46470,2026-03-19 13:36:38.010132026+00:00,test_blake2f,test_blake2f_benchmark,BLAKE2F,num_rounds_12,15,115205.0
test_blake2f.py::test_blake2f_benchmark[fork_Osaka-blockchain_test-num_rounds_24-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,359975,2026-03-19 14:52:40.724827372+00:00,test_blake2f,test_blake2f_benchmark,BLAKE2F,num_rounds_24,15,105470.0
test_blake2f.py::test_blake2f_benchmark[fork_Osaka-blockchain_test-num_rounds_6-benchmark-gas-value_15M],reth-v1.11.0__zisk-v0.15.0,37860,2026-03-18 22:33:22.816136982+00:00,test_blake2f,test_blake2f_benchmark,BLAKE2F,num_rounds_6,15,120779.0
