opcode,client_name,test_name,nobs,intercept,intercept_pvalue,rsquared,rsquared_adj,slope,slope_pvalue,slope_conf_int_low,slope_conf_int_high,msg_size,msg_size_pvalue,msg_size_conf_int_low,msg_size_conf_int_high,num_rounds,num_rounds_pvalue,num_rounds_conf_int_low,num_rounds_conf_int_high,num_pairs,num_pairs_pvalue,num_pairs_conf_int_low,num_pairs_conf_int_high
KECCAK256,reth-v1.11.0__zisk-v0.15.0,test_keccak_max_permutations,6,2990.679209935894,0.019,0.9889720808792968,0.9862151010991209,28.886261547706024,0.0,26.355569813579276,31.510537350746986,,,,,,,,,,,,
BLAKE2F,ethrex-v9.0.0__zisk-v0.15.0,test_blake2f,1,0.0,1.0,0.0,0.0,672.5714285714286,0.0,672.5714285714286,672.5714285714286,,,,,,,,,,,,
BLAKE2F,ethrex-v9.0.0__zisk-v0.15.0,test_blake2f_benchmark,18,7309.308878702985,0.267,0.304185532277773,0.21141026991480938,0.21385728970237292,0.071,0.0,0.32538780211805546,,,,,0.02506834384321596,0.0,0.007253397868021604,0.0669003920727161,,,,
BLAKE2F,reth-v1.11.0__zisk-v0.15.0,test_blake2f,1,0.0,1.0,0.0,0.0,637.2207792207793,0.0,637.2207792207793,637.2207792207793,,,,,,,,,,,,
BLAKE2F,reth-v1.11.0__zisk-v0.15.0,test_blake2f_benchmark,21,2141.9827903522896,0.554,0.27998910570609836,0.19998789522899818,0.13204131283657386,0.216,0.0,0.2819137793043946,,,,,0.038944713758587206,0.0,0.008635018184974568,0.09177408853527529,,,,
ECPAIRING,ethrex-v9.0.0__zisk-v0.15.0,test_alt_bn128,60,22663.247952658818,0.0,0.0015591200134624783,-0.01565537791733984,9.990997563548193,0.269,0.0,71.97128355099947,,,,,,,,,,,,
ECPAIRING,ethrex-v9.0.0__zisk-v0.15.0,test_alt_bn128_benchmark,30,422.4101616802339,0.108,0.99247174037371,0.9919140915125033,116.2339459161751,0.0,106.6531300576311,120.28604371921446,,,,,,,,,21.95821118545698,0.0,20.50858030051406,23.413389017489873
ECPAIRING,ethrex-v9.0.0__zisk-v0.15.0,test_bn128_pairings_amortized,6,0.0,1.0,0.9933837366398475,0.9917296707998093,899.4197656647988,0.0,794.0548049327354,917.5640495267273,,,,,,,,,,,,
ECPAIRING,reth-v1.11.0__zisk-v0.15.0,test_alt_bn128,60,21083.366036509757,0.0,0.00031166685957284557,-0.016924338884227508,3.6896138328108794,0.358,0.0,50.013450946458235,,,,,,,,,,,,
ECPAIRING,reth-v1.11.0__zisk-v0.15.0,test_alt_bn128_benchmark,30,989.8874970585333,0.001,0.9950300636666717,0.9946619202345733,107.42898464937547,0.0,105.22403146106176,111.7192714171864,,,,,,,,,21.91212372908015,0.0,20.52690347976512,23.47264951923039
ECPAIRING,reth-v1.11.0__zisk-v0.15.0,test_bn128_pairings_amortized,6,0.0,1.0,0.9968198527442845,0.9960248159303556,926.8232297503822,0.0,881.6162853894608,945.3907726514731,,,,,,,,,,,,
